"","X","coefficients","r_squared","p_value","gene","p_adj"
"153",153,0.0507578919299915,0.0682288483490509,1.78593781178886e-11,"YBX1",3.52518443895579e-11
"154",154,0.184653942414717,0.0680818912912804,1.88032155498785e-11,"KCNAB1",3.68738382861254e-11
"155",155,0.0634398735015544,0.0680248785627097,1.91826395455925e-11,"PGAM1",3.73752073727028e-11
"156",156,0.129237912879884,0.0672141224652031,2.54829040075842e-11,"KIAA1211",4.93322885275027e-11
"157",157,0.0408787837596631,0.0671332944242258,2.62144732133935e-11,"CREG1",5.04252924232155e-11
"158",158,0.0603039037416659,0.0665338121802721,3.23359850542801e-11,"PIN1",6.17476272935846e-11
"159",159,0.0641208318983842,0.0665185207609397,3.25095123830462e-11,"SUB1",6.17476272935846e-11
"160",160,0.0595291398513964,0.0662264821282855,3.60077869083805e-11,"SLC4A7",6.79646977895682e-11
"161",161,0.0963386760483737,0.0660447719265077,3.83715241919758e-11,"PREPL",7.19763994160043e-11
"162",162,0.0618681972017295,0.0656918443545292,4.34139296265221e-11,"DDX24",8.09321404148745e-11
"163",163,0.0826526282692404,0.0654534640412671,4.71887083350617e-11,"DKK3",8.74293859950223e-11
"164",164,0.156213072229794,0.0653528912756073,4.88779249455465e-11,"RAB3C",9.00069105704576e-11
"165",165,0.0628501148900154,0.065295521762212,4.98683902188309e-11,"NACA",9.12742657338602e-11
"166",166,0.0625022528518388,0.0650891767759527,5.35993447701177e-11,"RHBDD2",9.75120609673226e-11
"167",167,0.0688506264773817,0.065061158122161,5.41269845496565e-11,"SYT16",9.7882331341295e-11
"168",168,0.064189883164389,0.0649945872677409,5.5401509627591e-11,"DCX",9.95908089734076e-11
"169",169,0.0617965402275738,0.0644403635700815,6.72438865616667e-11,"DNAJB14",1.20163631607239e-10
"170",170,0.125507407376846,0.0639021819937244,8.11551789523518e-11,"SLC24A3",1.44169788491825e-10
"171",171,0.151334752286182,0.0638396798716002,8.29465288304394e-11,"PARK2",1.46490360858437e-10
"172",172,0.0695441791302753,0.0636321708960287,8.91816696721292e-11,"AC016723.4",1.56586420005715e-10
"173",173,0.0862945396951401,0.0635199852939738,9.27451606502724e-11,"PHYHIPL",1.61901956742094e-10
"174",174,0.0864057165762552,0.0634590272447111,9.4740668206919e-11,"ENTPD3",1.64434952864882e-10
"175",175,0.0434718976547324,0.0633227147153478,9.93593587215716e-11,"NDN",1.71465864765226e-10
"176",176,0.0545748200867088,0.062299692425933,1.42000533458898e-10,"ATP6AP1",2.43660006276064e-10
"177",177,0.0736889922293435,0.0621232008530022,1.51019552211153e-10,"PWRN1",2.57671778348973e-10
"178",178,0.0792599962564656,0.0614828654597721,1.88813639033983e-10,"TSPYL2",3.20346735889117e-10
"179",179,0.121184537554117,0.0613476715067254,1.97928104401183e-10,"SETBP1",3.33934567201996e-10
"180",180,0.0986903276547709,0.0608343177423412,2.36719248215601e-10,"NETO2",3.97162294228397e-10
"181",181,0.180237267098547,0.0607559097789758,2.432779699362e-10,"RBMS3",4.04804697721332e-10
"182",182,0.080982369344364,0.0607479347456675,2.43955148957889e-10,"RPL14",4.04804697721332e-10
"183",183,0.0560057881463723,0.0602920241178068,2.8596419445056e-10,"PPFIBP1",4.7191905313699e-10
"184",184,0.0804937990660269,0.0601470871334986,3.00776051310064e-10,"CTD.2537O9.1",4.9366504073717e-10
"185",185,0.0496574145208294,0.0599822286744832,3.18556674905351e-10,"FHL1",5.2002224768333e-10
"186",186,0.118085916277728,0.0595379232763409,3.71875277347663e-10,"RPL7",6.03797493327926e-10
"187",187,0.0764328029124862,0.0593577231734758,3.95959417490393e-10,"OLFM1",6.39463872096784e-10
"188",188,0.0889124078176447,0.0590401042735657,4.42261590062644e-10,"SERPINI1",7.10441490419779e-10
"189",189,0.0694994478070138,0.0588697050275878,4.69290613811656e-10,"TPST1",7.49871774450371e-10
"190",190,0.0481005039005276,0.0587740568709973,4.8517859452173e-10,"TSPAN3",7.71178608134539e-10
"191",191,0.138462554019586,0.058408465633048,5.51013311651843e-10,"TMEM178B",8.71235707428568e-10
"192",192,0.0625391670506464,0.0577374984846127,6.95900180091837e-10,"BDNF.AS",1.09459299160279e-09
"193",193,0.22915596335853,0.0576238979470655,7.23948922036049e-10,"GRM5",1.13281126660563e-09
"194",194,0.0788999742469173,0.0573862216008436,7.86336201935973e-10,"GNAL",1.22409037620961e-09
"195",195,0.0518631464707636,0.0570649432246586,8.79281240374017e-10,"ZNF302",1.36175863893822e-09
"196",196,0.0831533585189496,0.0569635492241273,9.10832037651525e-10,"OSBPL8",1.40342487434062e-09
"197",197,0.0674539669083747,0.0568455251434699,9.48983570489601e-10,"KIF1A",1.45478699638507e-09
"198",198,0.0621691564931856,0.0564225701626738,1.09928317899827e-09,"MPP6",1.67668444473474e-09
"199",199,0.0811869174342283,0.0557500995181621,1.38865280904366e-09,"DCLK2",2.10174017303818e-09
"200",200,0.0634225021138804,0.055743416083638,1.39188090929681e-09,"MAMDC2",2.10174017303818e-09
"201",201,0.0573824706195547,0.0556612113424344,1.43220388725596e-09,"REEP5",2.1518685271209e-09
"202",202,0.0466595472929512,0.0555406798266642,1.49344455184132e-09,"PTPRN",2.23277353790138e-09
"203",203,0.0948069539401981,0.0553198520491947,1.61250589250377e-09,"VWC2L",2.39890039180364e-09
"204",204,0.066178472768395,0.0552529713550626,1.65040102192381e-09,"WWP1",2.44324072853427e-09
"205",205,0.0419692726209121,0.0552125034860466,1.67376079915635e-09,"B3GAT3",2.46573542119618e-09
"206",206,0.0963334646320714,0.0547843125374008,1.94209196983835e-09,"SCN3A",2.83834348582824e-09
"207",207,0.065581331317094,0.0547792820441313,1.94548709127962e-09,"PLEKHA6",2.83834348582824e-09
"208",208,0.0734001929092593,0.0546871041594622,2.0087583258255e-09,"MICU2",2.91656256922741e-09
"209",209,0.0524898192811111,0.0544111941766212,2.2106862145148e-09,"RPS28",3.19438869274387e-09
"210",210,0.0552336299642536,0.0543171195922316,2.2840695984684e-09,"PKP2",3.28470961303551e-09
"211",211,0.0719396934905496,0.0542937557982546,2.30266852191819e-09,"RPL23A",3.29576252900139e-09
"212",212,0.0527143444668001,0.0541352715833798,2.43288529871326e-09,"PCDH10",3.46571396326134e-09
"213",213,0.107422924238601,0.0540299328338651,2.52347709840902e-09,"TAC3",3.57788771699307e-09
"214",214,0.0556331718807605,0.0538353405506917,2.6997760393721e-09,"GALNT11",3.80996431724474e-09
"215",215,0.0636939300462897,0.0537059132822189,2.82379259530962e-09,"RPL29",3.96644355248142e-09
"216",216,0.0965184699108015,0.0535822079454711,2.9476381910956e-09,"TTC28",4.12123487829107e-09
"217",217,0.0498967053860419,0.0532474371064044,3.31066124013594e-09,"RNPS1",4.60746403005094e-09
"218",218,0.0837604885181633,0.0530705425043637,3.52017213464446e-09,"CHST11",4.87656873698453e-09
"219",219,0.0491145586560101,0.0530309313648352,3.56887180840669e-09,"ATP6V1B2",4.92145792757452e-09
"220",220,0.150379760248792,0.0529260137390427,3.70113700632944e-09,"KCNQ3",5.08065170868860e-09
"221",221,0.0699532753100026,0.0528251270580127,3.83293357590537e-09,"KIFAP3",5.23776443404263e-09
"222",222,0.0378882993715463,0.0527923738212807,3.87672136855943e-09,"NDUFB2",5.27373807795022e-09
"223",223,0.351550852348849,0.0527613975292732,3.91859297922956e-09,"TENM2",5.30679407949474e-09
"224",224,0.0510045656349652,0.0527434444013852,3.94306713964396e-09,"LGI1",5.31609944719855e-09
"225",225,0.0760701751947879,0.0523897679741343,4.45756541991151e-09,"CHRNA7",5.98304336361456e-09
"226",226,0.173215317915937,0.0522364303784757,4.70096551219312e-09,"CHSY3",6.28182117116072e-09
"227",227,0.106958239618315,0.0521563940463714,4.83323639280263e-09,"NR2F2.AS1",6.4301206635524e-09
"228",228,0.0668051455787426,0.0521353440383481,4.86863730603749e-09,"TIMP2",6.44880906326018e-09
"229",229,0.100350598031734,0.0520042275942916,5.09504578282453e-09,"SGK1",6.71923068302624e-09
"230",230,0.060069390008064,0.0511668507188854,6.8106573138555e-09,"SELM",8.94268916862766e-09
"231",231,0.0488283650440774,0.0507991745814441,7.73594562341016e-09,"SRM",1.01136605119908e-08
"232",232,0.0652456292502895,0.0505646306384387,8.39073043669237e-09,"MARCH6",1.09224163443151e-08
"233",233,0.133898656192877,0.050192867692873,9.54380404983592e-09,"SEMA6D",1.23700807856242e-08
"234",234,0.0400792656419572,0.050032941071921,1.00872992899931e-08,"SELK",1.30186512204184e-08
"235",235,0.0776466286262224,0.049909389067069,1.05282484467234e-08,"FIGN",1.35299192804701e-08
"236",236,0.0428747562034309,0.0497620567144019,1.10792969722567e-08,"DLX1",1.41777444305997e-08
"237",237,0.103130888628993,0.0497072291620942,1.12916352853675e-08,"GABRB3",1.43884972834641e-08
"238",238,0.0440885819171668,0.0496789295443837,1.14028203140196e-08,"CUL1",1.4469124936277e-08
"239",239,0.0576586756835746,0.0495310307433774,1.20019269497836e-08,"JPX",1.51656148068395e-08
"240",240,0.184229211986083,0.04935943778362,1.27365085589913e-08,"SDK1",1.6026773270064e-08
"241",241,0.0425490426845391,0.0490434519243039,1.4208686840579e-08,"RPSA",1.78050764558293e-08
"242",242,0.0568643689821708,0.0484179135504457,1.76430048512691e-08,"HTRA1",2.20173035747243e-08
"243",243,0.377999224367538,0.0481242824358123,1.95297110775759e-08,"NCAM2",2.42714927795388e-08
"244",244,0.212187157593662,0.0481078101612284,1.96413299031929e-08,"FRMPD4",2.43101706178863e-08
"245",245,0.0562819932103924,0.0477226495121552,2.24408121766311e-08,"SLC12A5",2.76617358258881e-08
"246",246,0.117401917888055,0.047035025475941,2.84658580349677e-08,"CHL1",3.4945890758375e-08
"247",247,0.0486876568039162,0.0466910730538483,3.20609605313512e-08,"TMEM14A",3.92000408116116e-08
"248",248,0.0641477575492788,0.0466269437479222,3.27797890170372e-08,"RPL36",3.99173237223598e-08
"249",249,0.0531312577709815,0.0463583637974085,3.59693957952357e-08,"RP3.525N10.2",4.36255322496433e-08
"250",250,0.0698225556177546,0.0462035165785882,3.79473297077947e-08,"LRRC8B",4.5840374287016e-08
"251",251,0.0844462240466033,0.0461098004859024,3.91968002666984e-08,"UBA6.AS1",4.71610903607288e-08
"252",252,0.177607673289362,0.0460304512546722,4.0286795182096e-08,"FGF13",4.82802069245754e-08
"253",253,0.06397013511031,0.0457648565380033,4.41602636428356e-08,"CH17.189H20.1",5.27059994459085e-08
"254",254,0.0437481027187519,0.0457538296872533,4.43288869511946e-08,"LPIN1",5.27059994459085e-08
"255",255,0.0472540830361013,0.0456189791505129,4.64438032874988e-08,"PNCK",5.50040336973515e-08
"256",256,0.045729309482997,0.045440178449538,4.94042071888075e-08,"ZNF428",5.82815256680464e-08
"257",257,0.0430276244149639,0.0449380482175872,5.87649721854607e-08,"CD200",6.90545587548993e-08
"258",258,0.0442588215163742,0.0440565053562879,7.96851100140599e-08,"IGSF8",9.32748186986283e-08
"259",259,0.0572860594179626,0.0435895107308274,9.36319178094053e-08,"FAM135A",1.09176985244944e-07
"260",260,0.0366866336291823,0.0434296533416315,9.89462000355342e-08,"CNRIP1",1.14929816964351e-07
"261",261,0.0496079060659582,0.0425792651463976,1.32714451409339e-07,"RP5.857K21.4",1.53562315423833e-07
"262",262,0.0754626109108812,0.0424541779084957,1.38571103239729e-07,"LRRFIP2",1.59726996864115e-07
"263",263,0.0346585241182171,0.0415683525064391,1.88133320411092e-07,"NOL7",2.16031417354182e-07
"264",264,0.064105631934169,0.0415426919409029,1.89806889888716e-07,"ZNF608",2.17127578584819e-07
"265",265,0.052008631842535,0.0414240622223541,1.97739299721501e-07,"PARM1",2.25268859770403e-07
"266",266,0.0444981123815867,0.0414141688295762,1.98415618208368e-07,"PREX2",2.25268859770403e-07
"267",267,0.0456971724157994,0.0413835657384342,2.00522332572481e-07,"SCAMP1",2.26808031598836e-07
"268",268,0.0659192048073575,0.0411820033391747,2.14967434207308e-07,"SYT11",2.42239422129131e-07
"269",269,0.0806909643161291,0.0408400413830021,2.41892250267992e-07,"SHISA6",2.71566764241389e-07
"270",270,0.154399065071914,0.0401705150408327,3.04754821518446e-07,"AC074363.1",3.40873911476188e-07
"271",271,0.0420752380857247,0.0396770232304593,3.61319089939607e-07,"FAU",4.02650793954839e-07
"272",272,0.0556822460509404,0.0394065024378349,3.96661592673866e-07,"UBASH3B",4.40411033042307e-07
"273",273,0.0657242109807144,0.0392327361588236,4.2116531991079e-07,"MAGED1",4.65904493088127e-07
"274",274,0.0548458137344267,0.0379624556962818,6.5273129422218e-07,"PLPPR4",7.19433762244885e-07
"275",275,0.0449766941120113,0.0373259022998924,8.12970473349314e-07,"FAM19A5",8.92789392550883e-07
"276",276,0.0561165307427958,0.0371191598401885,8.73048687530698e-07,"ZNF518A",9.55292404471996e-07
"277",277,0.0315916056243337,0.0366593249032757,1.02307101798125e-06,"PLPPR2",1.11540594740194e-06
"278",278,0.0490329131339412,0.0365279139689204,1.07049878903993e-06,"RAPH1",1.16291595068367e-06
"279",279,0.0484679087498379,0.0362917482161241,1.16132704556835e-06,"ATP1B2",1.25706368373348e-06
"280",280,0.127254100407489,0.0356948633599226,1.4267340827722e-06,"MYO16",1.53883461784716e-06
"281",281,0.039758329254676,0.0355490852038437,1.50028705428929e-06,"CALY",1.61240815087319e-06
"282",282,0.0445028895131966,0.0354144464633256,1.57158351521835e-06,"ANAPC5",1.6830433389927e-06
"283",283,0.125956457748225,0.0349713991790541,1.83099465704339e-06,"SLIT2",1.9539236269509e-06
"284",284,0.0480557725772664,0.0347590385628491,1.9701073350054e-06,"DMXL1",2.09497329285785e-06
"285",285,0.0421047694447712,0.0347345359859219,1.98682388807463e-06,"FAM169A",2.10272387806429e-06
"286",286,0.0674882753990312,0.0347279790371591,1.99132128849797e-06,"PDE8B",2.10272387806429e-06
"287",287,0.106792342866026,0.0336986247306842,2.8398901476583e-06,"FLRT2",2.98831646199584e-06
"288",288,0.236405043434982,0.0333275582965735,3.22758302397502e-06,"NXPH1",3.38447942097381e-06
"289",289,0.0961189279942947,0.0332925618530928,3.26677396956237e-06,"ALK",3.41372227961189e-06
"290",290,0.0524524707976111,0.0330174488878829,3.59191087666006e-06,"SH3KBP1",3.74054167155634e-06
"291",291,0.0353763967138544,0.0322741423905953,4.64159327936577e-06,"RP11.159G9.5",4.81704869542427e-06
"292",292,0.0373971233850578,0.0316800563583021,5.69728790295312e-06,"AMD1",5.89240050236932e-06
"293",293,0.0330151908442362,0.0312656440076802,6.57293669382014e-06,"SPG20",6.7748357731525e-06
"294",294,0.0475845736866037,0.0302532304679192,9.32138321923743e-06,"ANO5",9.57502630003301e-06
"295",295,0.0380854646216491,0.0293122207286388,1.28988020441298e-05,"SYT17",1.32048753129736e-05
"296",296,0.424907616788922,0.0251694343900155,5.40094421352616e-05,"GRIK1",5.51042281244899e-05
"297",297,0.0355514134446723,0.0231380967356317,0.000109192816568072,"NRSN1",0.000111031079473258
"298",298,0.110880698955154,0.0227812044701888,0.000123589191975905,"ZNF804B",0.000125248107304441
"299",299,0.0371873638788916,0.0207235386711028,0.00025270329972016,"SET",0.000255238784332737
"300",300,0.0815230537857243,0.0206033504908026,0.000263503207773487,"SST",0.00026525989582531
"301",301,0.129304358437738,0.0197731480194915,0.00035191482558064,"IL1RAPL2",0.000353083977825094
"302",302,0.0205894372408677,0.00883357362257953,0.0172164438553533,"ACVR2A",0.0172164438553533
